event_name,event_date,fighter1,fighter1_best,fighter1_avg,fighter2,fighter2_best,fighter2_avg
UFC,,Cory Sandhagen,1.256,1.256,Rob Font,4.1,4.1
UFC,,Jessica Andrade,4.1,4.1,Tatiana Suarez,1.256,1.256
UFC,,Dustin Jacoby,2.46,2.46,Kennedy Nzechukwu,1.575,1.575
UFC,,Diego Lopes,1.575,1.575,Gavin Tucker,2.46,2.46
UFC,,Aleksa Camur,2.08,2.08,Tanner Boser,1.794,1.794
UFC,,Ignacio Bahamondes,1.417,1.417,Rudovit Klein,2.98,2.98
UFC,,Kyler Phillips,1.476,1.476,Raoni Barcelos,2.76,2.76
UFC,,Carlston Harris,2.0,2.0,Jeremiah Wells,1.847,1.847
UFC,,Elves Brener,,,Esteban Ribovics,,
UFC,,Derrick Lewis,4.3,4.3,Jailton Almeida,1.238,1.238
UFC,,Gabriel Bonfim,1.161,1.161,Nicolas Dalby,5.6,5.6
UFC,,Don'tale Mayes,2.68,2.68,Rodrigo Nascimento,1.5,1.5
UFC,,Abus Magomedov,3.4,3.4,Caio Borralho,1.339,1.339
UFC,,Armen Petrosyan,1.926,1.926,Rodolfo Vieira,1.926,1.926
UFC,,Elves Brener,1.417,1.417,Kaynan Kruschewsky,2.98,2.98
UFC,,Elizeu Zaleski Dos Santos,3.7,3.7,Rinat Fakhretdinov,1.299,1.299
UFC,,Aljamain Sterling,1.37,1.37,Sean Omalley,3.2,3.2
UFC,,Amanda Lemos,3.65,3.65,Zhang Weili,1.303,1.303
UFC,,Ian Garry,1.2,1.2,Neil Magny,4.85,4.85
UFC,,Da'mon Blackshear,2.84,2.84,Mario Bautista,1.455,1.455
UFC,,Marlon Vera,1.543,1.543,Pedro Munhoz,2.54,2.54
UFC,,Brad Tavares,1.435,1.435,Chris Weidman,2.9,2.9
UFC,,Denis Tiuliulin,4.1,4.1,Gregory Rodrigues,1.256,1.256
UFC,,Austin Hubbard,1.581,1.581,Kurt Holobaugh,2.44,2.44
UFC,,Brad Katona,1.543,1.543,Cody Gibson,2.54,2.54
UFC,,Jon Jones,,,Stipe Miocic,,
UFC,,Alex Pereira,1.926,1.926,Jiri Prochazka,1.926,1.926
UFC,,Sergei Pavlovich,2.04,2.04,Tom Aspinall,1.82,1.82
UFC,,Jessica Andrade,3.0,3.0,Mackenzie Dern,1.408,1.408
UFC,,Benoit Saint-Denis,1.426,1.426,Matt Frevola,2.94,2.94
UFC,,Diego Lopes,2.0,2.0,Pat Sabatini,1.847,1.847
UFC,,Alessandro Costa,2.8,2.8,Stephen Erceg,1.465,1.465
UFC,,Loopy Godinez,1.476,1.476,Tabatha Ricci,2.76,2.76
UFC,,Mateusz Rebecki,1.122,1.122,Roosevelt Roberts,6.7,6.7
UFC,,Nazim Sadykhov,1.61,1.61,Viacheslav Borshchev,2.38,2.38
UFC,,Jared Gordon,1.426,1.426,Mark Madsen,2.94,2.94
UFC,,John Castaneda,1.833,1.833,Kyung Ho Kang,2.02,2.02
UFC,,Alexa Grasso,2.44,2.44,Valentina Shevchenko,1.581,1.581
UFC,,Jack Della Maddalena,1.862,1.862,Kevin Holland,1.98,1.98
UFC,,Raul Rosas Jr,1.13,1.13,Terrence Mitchell,6.4,6.4
UFC,,Christos Giagos,3.2,3.2,Daniel Zellhuber,1.37,1.37
UFC,,Fernando Padilla,1.4,1.4,Kyle Nelson,3.05,3.05
UFC,,Elise Reed,4.1,4.1,Lupita Godinez,1.256,1.256
UFC,,Josh Fremd,3.6,3.6,Roman Kopylov,1.312,1.312
UFC,,Daniel da Silva Lacerda,2.84,2.84,Edgar Chairez,1.455,1.455
UFC,,Jasmine Jasudavicius,2.02,2.02,Tracy Cortez,1.833,1.833
UFC,,Bobby Green,4.8,4.8,Grant Dawson,1.204,1.204
UFC,,Abdul Razak Alhassan,4.2,4.2,Joe Pfyer,1.247,1.247
UFC,,Alex Morono,2.46,2.46,Joaquin Buckley,1.575,1.575
UFC,,Alexandre Pantoja,1.488,1.488,Brandon Royval,2.72,2.72
UFC,,Shavkat Rakhmonov,1.161,1.161,Stephen Thompson,5.6,5.6
UFC,,Paddy Pimblett,1.312,1.312,Tony Ferguson,3.6,3.6
UFC,,Bryce Mitchell,1.392,1.392,Josh Emmett,3.1,3.1
UFC,,Alonzo Menifield,3.15,3.15,Dustin Jacoby,1.385,1.385
UFC,,Irene Aldana,1.538,1.538,Karol Rosa,2.56,2.56
UFC,,Brian Kelleher,2.58,2.58,Cody Garbrandt,1.532,1.532
UFC,,Ariane Lipski,2.56,2.56,Casey O'Neill,1.538,1.538
UFC,,Cody Durden,2.54,2.54,Tagir Ulanbekov,1.543,1.543
UFC,,Andre Fili,1.575,1.575,Lucas Almeida,2.46,2.46
UFC,,Colby Covington,2.24,2.24,Leon Edwards,1.685,1.685
UFC,,Martin Buday,1.862,1.862,Shamil Gaziev,1.98,1.98
UFC,,Ian Garry,,,Vicente Luque,,
UFC,,Giga Chikadze,,,Josh Emmett,,
UFC,,Arman Tsarukyan,1.392,1.392,Beneil Dariush,3.1,3.1
UFC,,Bobby Green,2.54,2.54,Jalin Turner,1.543,1.543
UFC,,Deiveson Figueiredo,2.14,2.14,Rob Font,1.746,1.746
UFC,,Kelvin Gastelum,1.98,1.98,Sean Brady,1.862,1.862
UFC,,Clay Guida,3.7,3.7,Joaquim Silva,1.299,1.299
UFC,,Dustin Stoltzfus,3.65,3.65,Punahele Soriano,1.303,1.303
UFC,,Brendan Allen,1.227,1.227,Paul Craig,4.1,4.1
UFC,,Jake Matthews,3.6,3.6,Michael Morales,1.312,1.312
UFC,,Chase Hooper,1.465,1.465,Jordan Leavitt,2.72,2.72
UFC,,Nick Aguirre,5.6,5.6,Payton Talbott,1.161,1.161
UFC,,Jonny Parsons,,,Uros Medic,,
UFC,,Amanda Ribas,1.444,1.444,Luana Pinheiro,2.88,2.88
UFC,,Myktybek Orolbai,1.909,1.909,Uros Medic,1.943,1.943
UFC,,Joanderson Brito,2.14,2.14,Jonathan Pearce,1.685,1.685
UFC,,Chad Anheliger,2.88,2.88,Jose Johnson,1.444,1.444
UFC,,Christian Leroy Duncan,1.161,1.161,Denis Tiuliulin,5.6,5.6
