fighter_url,elo_rating,peak_elo,fights_processed,elo_source
http://www.ufcstats.com/fighter-details/621a6c59f88a44fe,1595.21,1737.49,24,ufc_fights
http://www.ufcstats.com/fighter-details/9f488f520ed25bbf,1438.43,1553.06,6,ufc_fights
http://www.ufcstats.com/fighter-details/d71d968dc6ecfdaf,1438.22,1529.03,6,ufc_fights
http://www.ufcstats.com/fighter-details/80e6d71e14c1d356,1503.56,1534.3,2,ufc_fights
http://www.ufcstats.com/fighter-details/6014d25e73b669c9,1472.7,1527.3,2,ufc_fights
http://www.ufcstats.com/fighter-details/d56caaa5e123f518,1468.02,1468.02,1,ufc_fights
http://www.ufcstats.com/fighter-details/2dc7f1762dc0a7ef,1477.72,1477.72,1,ufc_fights
http://www.ufcstats.com/fighter-details/7b9a85e5ff31ef47,1471.49,1521.91,3,ufc_fights
http://www.ufcstats.com/fighter-details/d2d37e8eeb3abc8d,1505.37,1603.37,13,ufc_fights
http://www.ufcstats.com/fighter-details/b807814d977682eb,1483.43,1483.43,1,ufc_fights
http://www.ufcstats.com/fighter-details/f4a031ac205ac580,1433.93,1472.6,3,ufc_fights
http://www.ufcstats.com/fighter-details/d86e913c548c07c2,1474.56,1474.56,1,ufc_fights
http://www.ufcstats.com/fighter-details/e7bc606d269896aa,1466.07,1466.07,1,ufc_fights
http://www.ufcstats.com/fighter-details/275cafc9de131c83,1418.44,1536.54,7,ufc_fights
http://www.ufcstats.com/fighter-details/7b6e40a73b567072,1449.91,1561.85,7,ufc_fights
http://www.ufcstats.com/fighter-details/4d74641fac830182,1479.59,1479.59,2,ufc_fights
http://www.ufcstats.com/fighter-details/63eedfcc73071d41,1496.94,1527.3,2,ufc_fights
http://www.ufcstats.com/fighter-details/9bad58fa651d6196,1540.3,1540.3,3,ufc_fights
http://www.ufcstats.com/fighter-details/1c061eb6e29eaa0a,1527.5,1527.5,1,ufc_fights
http://www.ufcstats.com/fighter-details/cb6783c39c01d896,1426.6,1508.72,10,ufc_fights
http://www.ufcstats.com/fighter-details/2620f3eb21c79614,1530.0,1530.0,1,ufc_fights
http://www.ufcstats.com/fighter-details/b4bc2e3353a770b5,1513.47,1557.11,6,ufc_fights
http://www.ufcstats.com/fighter-details/09c44b317c98bf96,1473.65,1473.65,1,ufc_fights
http://www.ufcstats.com/fighter-details/b63e800c18e011b5,1503.43,1527.95,2,ufc_fights
http://www.ufcstats.com/fighter-details/ce6065baef021cf3,1564.65,1598.26,30,ufc_fights
http://www.ufcstats.com/fighter-details/85d905f7c4f5a1af,1527.87,1591.92,14,ufc_fights
http://www.ufcstats.com/fighter-details/01daf32100ed7517,1468.35,1484.14,2,ufc_fights
http://www.ufcstats.com/fighter-details/b1605ea39fba6af6,1475.54,1567.21,7,ufc_fights
http://www.ufcstats.com/fighter-details/063649e21bc9d6d5,1491.14,1522.0,5,ufc_fights
http://www.ufcstats.com/fighter-details/1f454354805b6f75,1530.06,1859.15,43,ufc_fights
http://www.ufcstats.com/fighter-details/50cc91ce2982785d,1543.56,1676.11,16,ufc_fights
http://www.ufcstats.com/fighter-details/d29b5c4f22c6357d,1404.33,1516.44,14,ufc_fights
http://www.ufcstats.com/fighter-details/7450525c7ba032a0,1550.3,1630.42,22,ufc_fights
http://www.ufcstats.com/fighter-details/e7bfdb5e0112891e,1468.58,1468.58,1,ufc_fights
http://www.ufcstats.com/fighter-details/44aa652b181bcf68,1468.8,1531.2,2,ufc_fights
http://www.ufcstats.com/fighter-details/d1e6a6536ee62517,1519.62,1519.62,1,ufc_fights
http://www.ufcstats.com/fighter-details/0f6528b461e47462,1516.95,1516.95,2,ufc_fights
http://www.ufcstats.com/fighter-details/1562b12763cc8d67,1459.19,1476.74,2,ufc_fights
http://www.ufcstats.com/fighter-details/040426baba8a45e8,1467.46,1467.46,1,ufc_fights
http://www.ufcstats.com/fighter-details/7a15f3694c5cbc02,1458.11,1553.06,13,ufc_fights
